"matricula","carrera","periodo","numRepPrev","año","semestre","cantidad_asig","tasa_rep_carga","ceneval_global","ceneval_analitico","ceneval_matematico","ceneval_lengua","ceneval_esp","prom_per_prev","generacion","tasa_aprob_per_prev","tasa_aprob_gral_prev","asigMuchas","cuartil_repEst","asigRep_totalAsig","carrera_IA","carrera_IDeIO","carrera_ILyCS","carrera_II","carrera_IE","carrera_NI","carrera_TS","semestre_Otoño","complejidad_carga4","complejidad_carga5","año_encurso","carga_aprobada","recursando","total_recursando","depto","practicante","situacion","situacion_Condicionado","situacion_Irregular","situacion_Regular","depto_EyN","depto_TSGyH"
116466068,"Negocios Internacionales",201603,0,2016,"Otoño",6,9.81572218480992,1054,1030,1150,1060,970,8.55555555555556,2011,1,1,0,1,0,0,0,0,0,0,1,0,1,3,2,6,1,0,0,"EyN",0,"Regular",0,0,1,1,0
116466073,"Gastronomía",201601,0,2016,"Primavera",5,12.0339578643506,1228,1240,1180,1270,1180,8.44444444444444,2011,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,6,0,0,0,"TSGyH",1,"Regular",0,0,1,0,1
116466073,"Gastronomía",201603,2,2016,"Otoño",1,30.8641975308642,1228,1240,1180,1270,1180,7.4,2011,0,0,0,4,0.4,0,0,0,0,0,0,0,1,4,1,6,1,1,1,"TSGyH",1,"Irregular",0,1,0,0,1
116466073,"Gastronomía",201803,2,2018,"Otoño",1,23.2558139534884,1228,1240,1180,1270,1180,5,2011,0.5,0.5,0,4,0.666666666666667,0,0,0,0,0,0,0,1,4,1,8,1,1,1,"TSGyH",1,"Condicionado",1,0,0,0,1
116466076,"Negocios Internacionales",201601,0,2016,"Primavera",5,12.0382918189261,1108,1120,1000,1000,1240,8.44444444444444,2011,0,0,0,1,0,0,0,0,0,0,1,0,0,4,1,6,1,0,0,"EyN",0,"Regular",0,0,1,1,0
116466083,"Negocios Internacionales",201601,0,2016,"Primavera",1,4.08805031446541,1168,1180,1120,1210,1120,8.44444444444444,2011,0,0,0,1,0,0,0,0,0,0,1,0,0,4,1,6,1,0,0,"EyN",0,"Regular",0,0,1,1,0
116466205,"Gastronomía",201601,0,2016,"Primavera",1,13.4715025906736,1144,1120,1150,1180,1180,8.44444444444444,2011,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,6,1,0,0,"TSGyH",0,"Regular",0,0,1,0,1
116466206,"Gastronomía",201601,0,2016,"Primavera",1,18.0790960451977,1120,970,1120,1240,1180,8.44444444444444,2011,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,6,1,0,0,"TSGyH",0,"Regular",0,0,1,0,1
116466214,"Gastronomía",201601,0,2016,"Primavera",3,9.83547396042047,1156,1270,1150,1120,1120,8.44444444444444,2011,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,6,1,0,0,"TSGyH",0,"Regular",0,0,1,0,1
116466214,"Gastronomía",201603,0,2016,"Otoño",5,8.90252013197037,1156,1270,1150,1120,1120,9.66666666666667,2011,1,1,0,1,0,0,0,0,0,0,0,0,1,2,3,6,1,0,0,"TSGyH",0,"Regular",0,0,1,0,1
116466216,"Gastronomía",201601,0,2016,"Primavera",6,8.92853052295795,1066,1180,1150,1120,1000,8.44444444444444,2011,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,6,1,0,0,"TSGyH",0,"Regular",0,0,1,0,1
